subject,structure_condition,match_condition,patterns,strategy,comments
p656264,model,mismatch,nope,nope,"""}"
p529254,model,match,not not really,"only pick the female faces, they seem to give more stars ","""}"
p403333,emotion,match,I felt some faces were better than others,I stuck to the faces with the best rewards,"""}"
p557392,emotion,mismatch,no\n,no,"no\n""}"
p741535,emotion,match,it seemed certain emotions generated higher values,I tried out a few different ideas until it seemed like following certain emotions had the highest results.,"""}"
p776146,model,mismatch,No pattern,I just went with people that had higher stars on average.,"""}"
p678917,emotion,mismatch,Not at all,I only follow the face expression of the faces.,"N/A""}"
p915359,emotion,mismatch,I though the more happy a person was the more stars i got,yes i tended to click on happier faces although i did try sad and angry ones here and there i tended to stick to happier faces,"No everything was fine""}"
p918927,model,mismatch,"I was working on a hypothesis about expression & still testing it out. At first, I associated higher numbers with certain people, so I experimented with choosing that person.That process didn't work as well as I went on so I looked for other patterns.",Specified above.,"Given more time, I would have next tried isolating which square seemed to rate more highly. ""}"
p494369,model,match,women tended to give more stars than men.  facial expression did not matter,"followed the same person who gave a good star payoff.  every so often I would check the other people to see if they gave me more, but they never did.","""}"
p698081,model,match,The same person always had a fairly large number of stars,I chose the individual that had the most stars on the 1st time clicking through the pictures.,"Thought it went well""}"
p475508,model,mismatch,I think in the first one the best points were for surprise? For sure in the second part the best points were for the faces showing fear.,Once I figured out for sure that fear was the best one I chose the face showing it every time.,"Thank you""}"
p819195,emotion,mismatch,No,No,"none""}"
p542901,emotion,mismatch,It seemed in the first section that people with looks of disgust had higher scores. In the next section it seemed like the white guy had higher scores.,I selected the people with looks of disgust in the first section and then the white guy in the next section.,"No problems.""}"
p532437,emotion,match,Certain facial expressions seemed to give more or less stars sometimes,I tried to follow perceived patterns.,"""}"
p704733,model,mismatch,For the first set the gentleman I kept choosing was the most consistent in stars.,I tried to find the one that was most consistent with star points,"""}"
p96379,model,match,girl best,girl gave best results,"""}"
p957511,emotion,match,Some emotions gave more stars,I picked the emotion that gave the highest number of stars,"""}"
p508360,emotion,mismatch,I think the happier looking people earned more stars,select the happy faces,"""}"
p400231,emotion,mismatch,I chose the most angry people,No special strategy.,"All clear, no problems.""}"
p822174,emotion,mismatch,,,"""}"
p356240,emotion,match,no,smiles,"n""}"
p736976,model,mismatch,"somewhat, it seemed some facial expressions for certain individuals yielded more stars","Yes, I kept selecting the person who gave the most stars","""}"
p219921,emotion,mismatch,"I kept thinking I was seeing patterns and shortly after proving myself wrong, so at this point I am unsure. ","I just tried to find the most starts, I started seeing patterns but I would end up realizing they were not really there. ","No,thank you""}"
p314822,emotion,match,Nothing in particular.,I tried to form a mental image of the very best payout amounts.,"No issues. Great experiment!""}"
p208993,model,mismatch,Very interesting game ,well ,"""}"
p828701,emotion,match,I could eventually remember certain faces was equivalent to more stars,just memory,"""}"
p453686,model,match,2 people paid out the most stars. ,To figure out which person provided the most stars and mostly stick with them.,"None, thanks.""}"
p454325,emotion,match,"During the trials with the first group, those that were smiling gave the most points. During the trials with the second group, those that were angry gave the most points.",I tested out each face type until I found the ones that gave the most points.,"none""}"
p976730,model,mismatch,"The first batch, the rule seemed to be - the picture with the most emotion was the highest star, the second batch, the opposite was true. I didnt figure this out till the second batch though","The first batch, the rule seemed to be - the picture with the most emotion was the highest star, the second batch, the opposite was true. I didnt figure this out till the second batch though","""}"
p292967,emotion,mismatch,It seemed the number of stars depended on the facial expression.,I just tried to determine which expression led to the most points and kept clicking on it.,"It took forever for this to load and it never did in Chrome. It worked in Firefox though so if people have trouble, they might want to try Firefox.""}"
p317284,emotion,mismatch,Certain faces consistently had more stars,Rode the hot person,"""}"
p780745,emotion,mismatch,Smiling people got the most stars. The black man got the most stars.,"I picked smiling people, and the black man.","No""}"
p29278,emotion,mismatch,I noticed certain girls got more starts depending on their facial expression. ,No,"NA""}"
p198253,model,match,"Second half, always picked the long haired girl.","2 photos seemed the highest in first half, second half I picked the long haired girl.","none but thank you.""}"
p977692,model,mismatch,,,"""}"
p762381,model,match,"Yes, I noticed the same people earned more stars.",I found the faces that earned more starts,"""}"
p675228,model,mismatch,"In the first set of faces, the white woman seemed to give the most stars. With the second set of faces, I couldn't spot a pattern though.","Yes, I chose the white woman for the first set of faces - for the second I was unable to find a strategy that consistently worked though.","Nothing to add - thank you""}"
p395476,model,match,I notice that particular people rewarded stars in a higher range and tended to stick with them for my choice.,My strategy was identifying which individual out of the group presented consistently awarded stars above 5-10.,"Fun experiment. ""}"
p730283,emotion,match,"First, it seemed the happiest face with a mouth open and then it seemed the most scared face with a mouth open",I chose the picture that fit the trend I noticed and then picked the pictures I new would give high star values.,"none""}"
p494893,emotion,match,"people with open mouths at first, then people making a \""gross\"" face.",just choose open mouthed or grossed out face,"nothing I can think of.""}"
