task_version,subject,stimulus_image,response_raw,response_cleaned,rating,slider_start
v2,p302458,stimuli/AM05_CC.jpg,Moderate,moderate,0,50
v2,p302458,stimuli/AM09_CC.jpg,Bored,bored,0,50
v2,p302458,stimuli/BF04_SC.jpg,Sad,sad,59,50
v2,p302458,stimuli/WM13_SUR.jpg,Surprised or shocked,surprised or shocked,93,50
v2,p302458,stimuli/HM07_CC.jpg,Happy,happy,56,50
v2,p302458,stimuli/HM07_SC.jpg,Sad,sad,73,50
v2,p302458,stimuli/BM04_HO.jpg,Happy,happy,84,50
v2,p302458,stimuli/AM05_FO.jpg,Scared,scared,89,50
v2,p302458,stimuli/WM13_HO.jpg,Happy,happy,72,50
v2,p302458,stimuli/AM03_SUR.jpg,Scared or surprised ,scared or surprised,84,50
v2,p302458,stimuli/HM07_HE.jpg,Happy,happy,100,50
v2,p302458,stimuli/WM13_DO.jpg,Disgust,disgust,100,50
v2,p302458,stimuli/BF04_HE.jpg,Happy,happy,92,50
v2,p302458,stimuli/WF14_HO.jpg,Happy,happy,91,50
v2,p302458,stimuli/AM05_HE.jpg,Happy,happy,94,50
v2,p302458,stimuli/AM09_HE.jpg,Happy,happy,87,50
v2,p302458,stimuli/WM13_AO.jpg,Angry,angry,100,50
v2,p302458,stimuli/WF14_AO.jpg,Disgust,disgust,93,50
v2,p302458,stimuli/AM03_AO.jpg,Angry,angry,100,50
v2,p302458,stimuli/AM03_DO.jpg,Scared or disgust,scared or disgust,96,50
v2,p302458,stimuli/BM04_DO.jpg,Disgust,disgust,72,50
v2,p302458,stimuli/BM04_AO.jpg,Angry,angry,89,50
v2,p302458,stimuli/BF04_CC.jpg,Fine,fine,50,50
v2,p302458,stimuli/AM09_SC.jpg,Confused,confused,58,50
v2,p302458,stimuli/WF14_DO.jpg,Disgust,disgust,80,50
v2,p302458,stimuli/AM03_HO.jpg,Happy,happy,56,50
v2,p302458,stimuli/BF04_FO.jpg,Fear or scared,fear or scared,75,50
v2,p302458,stimuli/AM05_SC.jpg,Bored,bored,36,50
v2,p302458,stimuli/HM07_FO.jpg,Shocked,shocked,68,50
v2,p302458,stimuli/WF14_SUR.jpg,Surprised,surprised,66,50
v2,p302458,stimuli/AM09_FO.jpg,Scared or surprised ,scared or surprised,64,50
